Location,Device_ID,Meter_Name,Time,Model,Watts_Total,Watts_R_Ph,Watts_Y_Ph,Watts_B_Ph,PF_Ave,PF_R_Ph,PF_Y_Ph,PF_B_Ph,VLN_average,V_R_Ph,V_Y_Ph,V_B_Ph,A_average,A_R_Ph,A_Y_Ph,A_B_Ph,Frequency,Wh_received,Load_Hours_Delivered,No_of_interruption,On_Hours,V_R_Harmonics,V_Y_Harmonics,V_B_Harmonics,A_R_Harmonics,A_Y_Harmonics,A_B_Harmonics
LAUNDROMAT,1,M3_1,2025-09-03 15:22:15,LG6400,1453.72,1033.14,352.13,68.46,0.98,0.99,0.97,0.98,219.90,218.71,223.14,217.86,2.23,4.76,1.63,0.32,50.22,1959.64,134.36,1,166.84,2.41,2.71,3.96,1.70,5.58,6.92
LAUNDROMAT,2,M3_2,2025-09-03 15:22:15,LG6400,3022.26,985.83,713.37,1323.06,0.98,0.98,0.98,0.99,223.56,226.44,218.62,225.61,4.57,4.46,3.34,5.91,49.86,1791.19,190.81,0,175.81,1.34,4.43,1.47,6.10,7.59,1.65
LAUNDROMAT,1,M3_1,2025-09-03 15:22:20,LG6400,1270.86,487.40,314.72,468.74,0.97,0.96,1,0.96,217.16,220.88,215.61,214.99,2.01,2.29,1.47,2.28,50.39,1964.53,134.40,0,166.87,2.48,3.71,1.45,5.72,6.15,3.75
LAUNDROMAT,2,M3_2,2025-09-03 15:22:20,LG6400,577,271.38,240.38,65.25,0.97,0.99,0.98,0.95,228.80,237.30,229.09,220.01,0.85,1.15,1.08,0.31,49.64,1794.75,190.83,0,175.84,3.87,0.52,4.68,7.54,3.85,3.55
LAUNDROMAT,1,M3_1,2025-09-03 15:22:25,LG6400,2643.74,1046.27,371.24,1226.24,0.96,0.96,0.97,0.97,222.48,220.99,223.21,223.25,4.11,4.93,1.72,5.68,49.72,1966.97,134.43,1,166.89,0.44,1.11,3.51,0.40,6.04,6.30
LAUNDROMAT,2,M3_2,2025-09-03 15:22:25,LG6400,1798.85,1307.89,139.18,351.78,0.99,0.98,0.98,0.99,226.23,227.30,214.84,236.54,2.67,5.85,0.66,1.50,49.68,1796.74,190.86,0,175.86,0.97,4.67,4.89,5.66,0.76,5.64
LAUNDROMAT,1,M3_1,2025-09-03 15:22:30,LG6400,2335.34,1004.62,277.43,1053.29,0.98,0.96,0.97,1,223.81,215.78,239.70,215.97,3.64,4.84,1.19,4.88,49.85,1969.06,134.46,1,166.90,3.71,1.48,2.47,4.63,4.02,5.65
LAUNDROMAT,2,M3_2,2025-09-03 15:22:30,LG6400,1671.17,506.94,101.91,1062.32,0.99,0.99,0.99,0.99,227.69,220.76,236.16,226.16,2.50,2.32,0.44,4.74,49.97,1799.42,190.89,0,175.89,0.46,3.31,2.93,1.52,0.44,6.35
LAUNDROMAT,1,M3_1,2025-09-03 15:22:35,LG6400,2864.47,1214.85,454.45,1195.17,0.97,0.98,0.96,0.97,235.08,239.08,226.78,239.39,4.15,5.20,2.10,5.16,49.99,1971.89,134.48,1,166.93,2.01,0.19,4.28,2.34,0.92,6.43
LAUNDROMAT,2,M3_2,2025-09-03 15:22:35,LG6400,1589.52,790.46,751.60,47.46,0.99,0.99,0.98,0.99,216.96,218.13,221.05,211.71,2.44,3.64,3.45,0.23,49.84,1802.65,190.90,0,175.92,4.77,4.50,1.53,6.38,0.97,1.82
LAUNDROMAT,1,M3_1,2025-09-03 15:22:40,LG6400,2001.63,1269.66,300.91,431.06,0.97,0.99,0.98,0.96,222.47,213.50,219.57,234.34,3.11,6.01,1.40,1.92,50.21,1974.63,134.52,0,166.94,4.71,3.92,4.79,2.02,0.25,2.36
LAUNDROMAT,2,M3_2,2025-09-03 15:22:40,LG6400,1732.62,738.35,116.90,877.37,0.97,0.97,1,0.96,220.69,224.90,217.05,220.13,2.70,3.39,0.54,4.16,49.90,1805.73,190.92,1,175.94,0.56,3.42,0.02,6.67,2.64,7.79
LAUNDROMAT,1,M3_1,2025-09-03 15:22:45,LG6400,1766.90,551.99,396.75,818.16,0.97,0.97,0.96,0.99,224.47,224.40,228.07,220.94,2.70,2.53,1.81,3.74,50.16,1975.99,134.54,1,166.97,3.40,1.08,3.41,0.40,3.78,1.46
LAUNDROMAT,2,M3_2,2025-09-03 15:22:45,LG6400,1488.38,180.73,233.32,1074.33,0.97,0.95,1,0.96,231.68,236.87,239.87,218.31,2.30,0.80,0.98,5.13,50.43,1809.58,190.95,1,175.96,2.19,2.46,4.84,5.52,4.26,4.37
LAUNDROMAT,1,M3_1,2025-09-03 15:22:50,LG6400,2809.34,537.51,903.87,1367.96,0.99,0.98,0.99,1,233.71,227.26,239.57,234.32,4.02,2.42,3.79,5.85,50.01,1977.24,134.57,1,166.99,1.41,4.38,1.30,4.25,4.90,2.57
LAUNDROMAT,2,M3_2,2025-09-03 15:22:50,LG6400,1406.69,627.52,675.03,104.14,0.97,1,0.97,0.95,222.24,216.50,235.14,215.08,2.13,2.91,2.96,0.51,49.77,1813.49,190.98,0,175.97,4.65,1.57,3,6.84,4.09,7.38
LAUNDROMAT,1,M3_1,2025-09-03 15:22:55,LG6400,593.63,41.85,485.35,66.43,0.97,0.99,0.96,0.97,227.21,227.77,222.32,231.54,0.92,0.19,2.27,0.30,49.84,1978.90,134.59,0,167.02,1.67,2.86,4.01,1.96,0.98,0.91
LAUNDROMAT,2,M3_2,2025-09-03 15:22:55,LG6400,3062.91,988.58,1051.53,1022.80,0.97,0.99,0.96,0.95,228.22,239.20,216.94,228.51,4.64,4.16,5.06,4.69,49.93,1818.39,191.02,1,176,0.45,4.12,4.23,0.02,2.36,1.66
LAUNDROMAT,1,M3_1,2025-09-03 15:23:00,LG6400,3393.53,942.57,1319.30,1131.66,0.98,0.96,0.99,0.98,234.69,235.23,237.92,230.91,4.92,4.16,5.59,5.01,49.82,1980.13,134.62,0,167.07,0.95,3.56,2.17,4.99,6.98,1.88
LAUNDROMAT,2,M3_2,2025-09-03 15:23:00,LG6400,2068.90,436.17,1098.93,533.80,0.98,0.97,0.97,0.99,232.39,235.46,238.96,222.74,3.03,1.92,4.75,2.41,49.82,1821.13,191.05,1,176.04,1.61,1.59,3.71,5.51,5.24,5.18
LAUNDROMAT,1,M3_1,2025-09-03 15:23:05,LG6400,2383.13,891.59,701.40,790.14,0.98,0.97,0.99,0.99,225.09,221.24,220.35,233.67,3.60,4.14,3.23,3.42,50.48,1985.01,134.63,0,167.11,0.95,1.05,2.23,5.79,1.86,7.81
LAUNDROMAT,2,M3_2,2025-09-03 15:23:05,LG6400,1538.71,622.15,677.61,238.95,0.96,0.98,0.95,0.95,226.85,238.28,212.68,229.60,2.36,2.65,3.34,1.09,49.83,1823.48,191.10,1,176.07,2.97,2.21,2.77,0.25,1.81,5.38
LAUNDROMAT,1,M3_1,2025-09-03 15:23:10,LG6400,2571.86,511.88,744.32,1315.66,0.98,0.97,0.99,0.97,223.76,212.61,237.90,220.77,3.92,2.48,3.16,6.11,49.68,1987.03,134.68,0,167.14,1.44,3.60,3.16,6.89,3.35,5.48
LAUNDROMAT,2,M3_2,2025-09-03 15:23:10,LG6400,787.28,309.08,382.45,95.74,0.98,0.98,0.97,0.98,216.32,215.98,221.04,211.96,1.24,1.46,1.78,0.46,49.69,1826.07,191.11,1,176.10,1.88,0.19,3.13,0.05,7.64,1.70
LAUNDROMAT,1,M3_1,2025-09-03 15:23:15,LG6400,1399.02,124.93,340.32,933.77,0.96,0.98,0.95,0.96,224.25,231.52,220.89,220.33,2.20,0.55,1.62,4.43,49.70,1988.33,134.72,0,167.19,4.80,4.05,1.56,0.68,5.29,0.88
LAUNDROMAT,2,M3_2,2025-09-03 15:23:15,LG6400,1855.94,841.62,866.24,148.07,0.97,0.96,0.97,0.96,230.79,231.73,227.26,233.37,2.78,3.78,3.91,0.66,49.66,1830.99,191.15,1,176.12,2.66,4.29,2.66,6,5.87,3.76
LAUNDROMAT,1,M3_1,2025-09-03 15:23:20,LG6400,1284.68,157.50,427.59,699.58,0.97,0.96,0.97,0.98,219.16,210.78,217.73,228.98,1.97,0.78,2.02,3.11,50.18,1991.70,134.75,0,167.23,4.47,1.75,1.50,6.86,6.16,2.73
LAUNDROMAT,2,M3_2,2025-09-03 15:23:20,LG6400,981.15,438.78,79.53,462.85,0.96,0.98,0.96,0.95,224.53,211.67,238.05,223.87,1.54,2.11,0.35,2.18,49.79,1834.15,191.16,0,176.14,0.65,2.20,1.33,2.83,2.03,4.95
LAUNDROMAT,1,M3_1,2025-09-03 15:23:25,LG6400,2396.95,639.44,923.84,833.66,0.97,0.96,0.96,0.99,230.04,230.13,230.09,229.90,3.58,2.89,4.17,3.68,49.88,1994.65,134.77,0,167.27,2.86,1.59,4.42,5.52,4.53,1.13
LAUNDROMAT,2,M3_2,2025-09-03 15:23:25,LG6400,2151.93,172.37,1072.98,906.58,0.97,0.95,0.99,0.96,222.49,238.65,211.64,217.18,3.40,0.76,5.11,4.34,50.31,1837.78,191.19,1,176.17,0.94,3.85,1.08,7.59,4.54,4.45
LAUNDROMAT,1,M3_1,2025-09-03 15:23:30,LG6400,1589.11,569.32,943.20,76.59,0.98,0.97,0.99,0.98,219.98,219.01,223.91,217,2.44,2.68,4.28,0.36,50.21,1999.59,134.78,1,167.31,0.68,1.47,3.10,6.22,3,7.76
LAUNDROMAT,2,M3_2,2025-09-03 15:23:30,LG6400,2018.33,1322.86,149.08,546.39,0.97,0.99,0.97,0.95,217.26,225.73,213.95,212.09,3.11,5.90,0.72,2.70,50.15,1839.59,191.21,0,176.20,4.44,1.99,0.35,2.25,1.48,5.34
LAUNDROMAT,1,M3_1,2025-09-03 15:23:35,LG6400,2803.36,605.91,1046.99,1150.47,0.97,0.98,0.95,0.97,223.31,216.04,228.60,225.28,4.30,2.86,4.80,5.25,50.15,2000.67,134.83,1,167.34,4.25,4.55,4.47,3.24,3.29,6.84
LAUNDROMAT,2,M3_2,2025-09-03 15:23:35,LG6400,1004,273.86,144.85,585.29,0.97,0.96,0.96,1,231.25,239.55,216.97,237.23,1.45,1.19,0.69,2.47,49.56,1841.40,191.25,1,176.25,2.35,4.92,1.45,1.53,5.59,6.30
LAUNDROMAT,1,M3_1,2025-09-03 15:23:40,LG6400,1678.42,384.03,1178.26,116.13,0.97,0.95,1,0.97,220.39,212.65,217.46,231.05,2.61,1.90,5.43,0.52,49.66,2003.15,134.85,1,167.36,2.67,0.26,0.58,0.04,1.02,6.71
LAUNDROMAT,2,M3_2,2025-09-03 15:23:40,LG6400,1377.36,1036.66,226.72,113.98,0.96,0.95,0.97,0.95,230.05,236.47,219.56,234.12,2.06,4.61,1.06,0.51,50.15,1843.16,191.28,1,176.27,2.27,0.24,0.20,7.71,4.37,3.42
LAUNDROMAT,1,M3_1,2025-09-03 15:23:45,LG6400,2163.37,186.74,1133.20,843.43,0.96,0.95,0.98,0.96,220.01,227.15,217.08,215.79,3.42,0.86,5.31,4.08,49.63,2007.68,134.88,0,167.41,4.54,3.62,4.26,7.92,0.76,3.79
LAUNDROMAT,2,M3_2,2025-09-03 15:23:45,LG6400,2685.38,1018.22,795.72,871.44,0.98,0.98,1,0.96,219.01,216.76,215.49,224.78,4.19,4.79,3.71,4.06,50.33,1847.28,191.31,1,176.31,3.09,4.90,4.37,1.12,3.19,6.86
LAUNDROMAT,1,M3_1,2025-09-03 15:23:50,LG6400,1389.08,228.58,374.49,786.01,0.97,0.96,1,0.95,231.91,229.28,230.11,236.34,2.05,1.04,1.63,3.49,49.60,2011.61,134.90,0,167.45,4.64,1.60,3.67,2.80,7.26,1.28
LAUNDROMAT,2,M3_2,2025-09-03 15:23:50,LG6400,2399.73,527.78,1013.37,858.58,0.97,0.96,0.95,1,228.04,214.18,230.20,239.74,3.59,2.58,4.61,3.59,50.32,1850.63,191.35,1,176.33,3.38,0.27,3.82,2.58,1.65,4.23
LAUNDROMAT,1,M3_1,2025-09-03 15:23:55,LG6400,1765.59,740.80,132.21,892.58,0.97,0.98,0.97,0.97,212.75,212.66,210.96,214.64,2.83,3.57,0.64,4.29,49.95,2013.10,134.92,1,167.49,2.88,1.43,3.32,5.52,4.14,7.24
LAUNDROMAT,2,M3_2,2025-09-03 15:23:55,LG6400,1440.92,849.39,574.88,16.65,0.99,0.99,1,0.97,221.82,230.66,218.80,216,2.15,3.72,2.64,0.08,49.85,1855.49,191.38,0,176.35,2.22,2.42,2.45,2.29,6.28,7.97
LAUNDROMAT,1,M3_1,2025-09-03 15:24:00,LG6400,3038.99,1042.10,1259.92,736.97,0.97,0.99,0.98,0.96,222.38,210.52,228.76,227.85,4.68,5.02,5.64,3.38,50.28,2015.48,134.94,1,167.52,4.48,1.24,1.95,1.23,0.51,5.80
LAUNDROMAT,2,M3_2,2025-09-03 15:24:00,LG6400,2122.87,582.72,1076.23,463.92,0.98,0.97,0.98,0.98,219.56,220.02,222.74,215.92,3.28,2.74,4.93,2.19,50.25,1860.40,191.40,0,176.36,4.19,3.05,3.33,0.87,0.17,7.35
LAUNDROMAT,1,M3_1,2025-09-03 15:24:05,LG6400,945,579.99,85.08,279.93,0.98,0.96,0.97,1,224.76,237.32,217.26,219.69,1.41,2.54,0.40,1.28,50.49,2019.07,134.96,0,167.54,3.84,2.67,3.86,7.15,6.75,0.85
LAUNDROMAT,2,M3_2,2025-09-03 15:24:05,LG6400,2649,811.10,1274.28,563.62,0.97,0.96,0.98,0.96,218.76,218.63,214.44,223.21,4.18,3.86,6.07,2.62,50.01,1861.94,191.42,0,176.39,1.74,0.61,2.07,7.49,0.26,5.89
LAUNDROMAT,1,M3_1,2025-09-03 15:24:10,LG6400,2665.88,1337.57,217.12,1111.19,0.98,0.96,0.99,1,229.11,229.72,233.56,224.04,4,6.09,0.94,4.98,50.26,2020.18,135,1,167.57,2.51,1.20,0.30,1.37,2.72,7.62
LAUNDROMAT,2,M3_2,2025-09-03 15:24:10,LG6400,916.46,720.67,73.57,122.22,0.97,0.96,1,0.96,223.11,229.26,211.25,228.81,1.39,3.27,0.35,0.56,50.27,1863.86,191.45,1,176.44,1.66,3.75,1.85,0.17,1.89,6.86
LAUNDROMAT,1,M3_1,2025-09-03 15:24:15,LG6400,3135.35,1312.86,995.03,827.46,0.97,0.97,0.96,0.97,234.53,239.25,232.73,231.61,4.60,5.68,4.43,3.68,50.31,2024.14,135.04,0,167.62,3.22,0.04,0.01,4.86,6.54,3.23
LAUNDROMAT,2,M3_2,2025-09-03 15:24:15,LG6400,2213.75,345.75,905.97,962.03,0.96,0.95,0.97,0.97,222.11,221.33,221.39,223.61,3.43,1.64,4.21,4.44,49.65,1865.89,191.46,0,176.46,2.57,4.61,3.73,7.03,6.51,1.48
LAUNDROMAT,1,M3_1,2025-09-03 15:24:20,LG6400,2332.77,190.42,902.41,1239.94,0.97,1,0.96,0.95,218.51,220.22,213.15,222.16,3.71,0.87,4.41,5.85,50.25,2028.32,135.09,1,167.67,4.44,1.49,0.88,2.31,0.33,7.67
LAUNDROMAT,2,M3_2,2025-09-03 15:24:20,LG6400,3468.72,1358.27,1278.92,831.54,0.97,0.98,0.96,0.98,225.81,223.44,238.44,215.54,5.26,6.23,5.61,3.95,50.15,1870.63,191.47,0,176.49,4.12,2.06,1.57,6.95,6.74,5.09
LAUNDROMAT,1,M3_1,2025-09-03 15:24:25,LG6400,2146.84,770.80,230.29,1145.74,0.97,0.97,0.96,0.98,233.83,234.24,229.32,237.92,3.12,3.40,1.05,4.91,49.86,2032.24,135.13,0,167.71,2.93,3.21,0.45,4.17,7.11,0.49
LAUNDROMAT,2,M3_2,2025-09-03 15:24:25,LG6400,2424.81,782.09,638.89,1003.83,0.97,0.97,0.97,0.98,226.41,223.91,216.93,238.39,3.64,3.61,3.04,4.28,50.49,1874.90,191.49,1,176.51,2.60,0.44,1.10,0.74,5.91,2.18
LAUNDROMAT,1,M3_1,2025-09-03 15:24:30,LG6400,2410.22,1116.84,765.78,527.60,0.97,0.96,0.99,0.97,219.45,210.29,218.90,229.14,3.82,5.54,3.54,2.38,50.13,2036.98,135.17,0,167.74,2.29,2.69,1.90,1.79,5.49,5.63
LAUNDROMAT,2,M3_2,2025-09-03 15:24:30,LG6400,1358.88,7.43,557.41,794.04,0.97,0.97,0.97,0.97,231.86,235.03,229.08,231.48,2.03,0.03,2.51,3.53,49.66,1878.27,191.52,0,176.54,3.11,4.70,0.62,0.58,2.27,1.71
LAUNDROMAT,1,M3_1,2025-09-03 15:24:35,LG6400,3028.40,1307.82,791.09,929.49,0.99,0.99,1,1,213.98,211.12,220.68,210.16,4.76,6.26,3.59,4.44,50.38,2039.18,135.20,1,167.78,3.63,1.14,1.87,4.23,0.75,1.03
LAUNDROMAT,2,M3_2,2025-09-03 15:24:35,LG6400,2025.90,1087.99,27.31,910.60,0.97,0.98,0.95,0.98,214.45,210.49,216.60,216.27,3.23,5.29,0.13,4.28,50.40,1882.05,191.56,0,176.58,3.18,3.12,2.60,1.77,2.22,5.85
LAUNDROMAT,1,M3_1,2025-09-03 15:24:40,LG6400,2921.21,830.79,1148.44,941.98,0.97,0.97,0.97,0.97,218.06,211.08,219,224.09,4.61,4.07,5.40,4.34,49.55,2042.83,135.21,0,167.79,0.65,2.05,1.22,7.34,5.88,6.15
LAUNDROMAT,2,M3_2,2025-09-03 15:24:40,LG6400,2783.16,734.99,1012.72,1035.45,0.98,0.98,0.99,0.96,229.74,219.69,236.33,233.20,4.10,3.40,4.31,4.61,50.14,1885.97,191.59,0,176.61,2.19,1.18,3.90,7.77,0.91,3.40
LAUNDROMAT,1,M3_1,2025-09-03 15:24:45,LG6400,1716.97,719.74,589,408.23,0.99,1,1,0.97,216.67,211.93,214.40,223.69,2.68,3.40,2.75,1.87,50.05,2046.41,135.25,0,167.82,0.02,1.25,2.34,1.47,3.07,1.82
LAUNDROMAT,2,M3_2,2025-09-03 15:24:45,LG6400,2134.65,1449,114.53,571.12,0.98,0.99,0.95,1,226.29,234.13,231.63,213.11,3.15,6.24,0.52,2.69,50.43,1887.51,191.60,1,176.65,1.81,2.52,4.53,0.23,3.04,3.92
LAUNDROMAT,1,M3_1,2025-09-03 15:24:50,LG6400,1841.43,1097.70,123.69,620.04,0.97,0.96,0.95,1,226.88,236.51,216.64,227.49,2.73,4.85,0.60,2.74,49.85,2051.19,135.28,0,167.85,1.65,1.49,1.49,7.84,4.99,7.30
LAUNDROMAT,2,M3_2,2025-09-03 15:24:50,LG6400,1208.24,188.93,257.23,762.07,0.97,0.96,0.96,0.98,226.13,238.56,214.21,225.62,1.84,0.82,1.25,3.45,50.08,1890.82,191.62,0,176.68,2.86,0.91,2.82,1.10,4.21,2.81
LAUNDROMAT,1,M3_1,2025-09-03 15:24:56,LG6400,2003.85,521.59,113.37,1368.90,0.97,0.99,0.97,0.95,224.43,223.49,214.38,235.44,3,2.37,0.55,6.10,49.59,2052.52,135.30,0,167.89,1.90,0.90,1.52,4.88,6.86,4.99
LAUNDROMAT,2,M3_2,2025-09-03 15:24:56,LG6400,1066.64,49.36,435.20,582.07,0.96,0.96,0.95,0.96,220.79,237.77,210.87,213.73,1.74,0.22,2.17,2.82,49.80,1892.11,191.65,0,176.70,3.93,0.07,3.38,5.93,2.97,4.70
LAUNDROMAT,1,M3_1,2025-09-03 15:25:01,LG6400,1333.67,64,169.42,1100.25,0.98,0.99,0.98,0.99,228.22,218.82,226.53,239.30,1.91,0.30,0.76,4.66,50.30,2055.81,135.32,0,167.91,0.89,2.26,0.83,3,7.80,2.55
LAUNDROMAT,2,M3_2,2025-09-03 15:25:01,LG6400,2133.63,882.02,989.93,261.69,0.97,0.95,1,0.96,221.92,214.14,239.39,212.24,3.25,4.33,4.15,1.28,49.97,1894.24,191.68,1,176.72,0.31,0.91,1.72,1.79,5.32,4.04
LAUNDROMAT,1,M3_1,2025-09-03 15:25:06,LG6400,1814.03,659.33,505.37,649.32,0.97,0.99,0.97,0.96,219.96,210.20,210.97,238.71,2.82,3.17,2.47,2.83,49.90,2058.40,135.34,0,167.94,1.74,2.15,1.84,7.91,6.68,5.61
LAUNDROMAT,2,M3_2,2025-09-03 15:25:06,LG6400,777.42,362.65,209.65,205.12,0.97,0.99,0.96,0.97,230.25,236.67,229.58,224.49,1.15,1.55,0.95,0.94,50,1898.66,191.71,1,176.74,3.74,2.98,0.47,5.39,2.34,0.46
LAUNDROMAT,1,M3_1,2025-09-03 15:25:11,LG6400,1666.93,457.71,626.53,582.69,0.98,0.98,0.98,0.99,216.69,220.57,213.48,216.01,2.62,2.13,3,2.72,50.04,2062.52,135.37,1,167.98,4.36,3.31,2.68,7.80,2.64,5.82
LAUNDROMAT,2,M3_2,2025-09-03 15:25:11,LG6400,2087.91,522.25,1269.26,296.40,0.97,0.99,0.98,0.95,232.58,238.82,232.15,226.76,3.06,2.21,5.60,1.37,49.67,1902.86,191.75,1,176.75,1.22,0.53,2.81,5.73,6.84,5.38
